table_id;x_axis_rc_code;y_axis_rc_code
C_13.01;330;610
C_114.00;209;x414_RO
C_75.01;90;1740
C_22.00;80;40
D_05.00;40;N82_91
F_46.00;20;80
D_05.00;100;C10_11
F_12.01;20;730
D_05.00;90;S95_24
C_118.00;205;x418_BE
C_75.01;90;2180
D_05.00;30;C25_21
C_74.00;80;287
C_05.02;50;140
C_114.00;160;x417_GH
F_18.00;191;410
D_05.00;20;A1_28
D_05.00;120;C13_93
D_05.00;30;H49_31
C_114.00;180;x417_IR
R_06.01;40;20
C_13.01;880;540
D_07.00;110;340
C_75.01;60;1880
D_05.00;50;Q87_1
C_73.00;20;731
D_05.00;20;M72_2
C_34.02;210;130
J_02.00;150;170
F_18.00;910;510
C_07.00;10;130
C_34.02;130;20
C_24.00;130;110
C_118.00;170;x418_AU
C_13.01;50;570
D_05.00;70;K66_21
C_13.01;90;600
F_18.00;107;360
D_05.00;80;M73_2
C_13.01;110;500
F_19.00;100;224
F_46.00;110;180
C_118.00;170;x417_AR
D_05.00;100;C33_15
C_120.04;120;x99_x1286_x1284_x15_x822
F_32.04;50;120
C_80.00;20;280
C_34.03;10;20
D_05.00;80;C32_2
F_15.00;80;187
C_17.01;90;750
C_22.00;100;170
C_73.00;20;203
C_74.00;40;500
C_17.01;90;280
C_13.01;890;450
C_13.01;10;270
D_05.00;80;G46_46
D_05.00;80;C10_83
C_73.00;30;913
C_118.00;180;x418_FR
C_13.01;320;630
C_08.01;20;50
C_08.01;250;170
D_05.00;40;N77_39
C_13.01;50;480
J_03.00;80;640
D_07.00;80;420
D_05.00;50;Q86_21
C_73.00;30;1300
C_75.01;70;660
C_22.00;90;440
C_74.00;80;335
D_05.00;140;F43_11
C_66.01;10;100
D_05.00;70;H53_1
C_32.02;70;50
C_118.00;207;x416_AR
R_04.01;10;0010_0010
C_75.01;70;2590
C_66.01;25;50
D_05.00;50;C26_2
C_73.00;30;590
C_05.01;40;70
D_05.00;30;G46_43
F_18.00;30;500
C_18.00;10;180
D_05.00;140;C26_2
F_23.03;40;40
D_07.00;130;440
D_05.00;30;N78_3
C_114.00;180;x418_CL
C_114.00;204;x415_MZ
J_03.00;100;640
D_05.00;50;A1_4
C_75.01;20;430
C_74.00;90;339
D_05.00;140;G46_45
F_18.00;80;400
C_13.01;150;620
C_13.01;900;580
C_114.00;150;x416_CY
D_05.00;100;J59_12
C_83.00;50;110
C_75.01;90;2220
C_75.01;40;2810
F_23.02;130;400
P_01.03;40;36
D_07.00;130;360
C_75.01;100;480
